ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-12764	C	05:19:27.42	-69:39:10.0	15.287	15.383	0.096	0.89805540	0.153	0.152
OGLE-LMC-ECL-12835	C	05:19:38.65	-68:58:07.9	18.805	18.787	-0.018	0.47938300	0.714	0.705
OGLE-LMC-ECL-12866	C	05:19:44.67	-67:53:30.5	17.140	17.281	0.141	0.77946030	0.205	0.178
OGLE-LMC-ECL-12878	C	05:19:45.70	-71:14:19.2	15.798	15.713	-0.085	0.79606230	0.713	0.709
OGLE-LMC-ECL-12982	C	05:19:59.86	-68:15:09.2	15.130	14.987	-0.143	0.82598460	0.610	0.606
OGLE-LMC-ECL-13430	C	05:21:08.35	-69:42:24.7	18.089	19.375	1.286	18.28942330	0.162	0.096
OGLE-LMC-ECL-13724	ELL	05:21:52.44	-68:53:37.9	18.005	18.118	0.113	2.89440270	0.100	0.059
OGLE-LMC-ECL-13740	C	05:21:55.17	-67:56:11.1	14.901	14.746	-0.155	0.87127210	0.635	0.632
OGLE-LMC-ECL-13761	C	05:21:57.96	-67:57:36.5	15.347	15.217	-0.130	0.74119090	0.551	0.542
OGLE-LMC-ECL-13887	C	05:22:13.63	-67:56:22.3	15.090	14.878	-0.212	1.08175090	0.246	0.228
OGLE-LMC-ECL-13919	C	05:22:16.71	-70:19:52.2	18.528	19.521	0.993	15.99988600	0.477	0.436
OGLE-LMC-ECL-13935	C	05:22:19.21	-67:52:56.0	14.360	14.206	-0.154	1.69105100	0.278	0.232
OGLE-LMC-ECL-13963	C	05:22:21.88	-70:58:22.9	16.910	18.088	1.178	59.91902660	0.097	0.088
OGLE-LMC-ECL-14012	ELL	05:22:28.90	-69:28:54.3	17.228	17.155	-0.073	0.96613270	0.117	0.082
OGLE-LMC-ECL-14023	C	05:22:30.17	-68:24:21.9	16.142	16.182	0.040	2.83929180	0.103	0.100
OGLE-LMC-ECL-14205	C	05:22:53.18	-69:41:48.6	17.974	18.656	0.682	25.71689010	0.145	0.128
OGLE-LMC-ECL-14209	C	05:22:53.82	-68:02:51.9	18.190	18.360	0.170	0.47695840	0.427	0.426
OGLE-LMC-ECL-14220	ELL	05:22:54.65	-67:51:59.4	17.050	18.123	1.073	56.87077480	0.128	0.098
OGLE-LMC-ECL-14224	C	05:22:55.71	-69:51:12.3	15.494	15.387	-0.107	0.76644230	0.274	0.271
OGLE-LMC-ECL-14256	C	05:23:00.64	-68:53:00.1	17.740	17.941	0.201	1.65884290	0.121	0.113
OGLE-LMC-ECL-14285	ELL	05:23:04.90	-70:04:47.4	17.543	18.608	1.065	39.33901100	0.189	0.149
OGLE-LMC-ECL-14306	ELL	05:23:06.64	-69:54:04.6	17.304	17.593	0.289	1.85517280	0.072	0.052
OGLE-LMC-ECL-14311	ELL	05:23:07.88	-70:34:26.7	16.455	17.694	1.239	111.80075030	0.080	0.044
